cctv261,40.7921896,-73.9382043
cctv254,40.8009838,-73.9317793
cctv1083,40.7313474,-73.9825664
cctv253,40.7368909,-73.97854029999999
cctv490,40.7488432,-73.97000690000002
cctv827,40.7614857,-73.9606064
cctv263,40.776876,-73.9493739
cctv644,40.783286,-73.9447038
cctv696,40.7313474,-73.9825664
cctv901,40.7229826,-73.9885359
cctv914,40.7596294,-73.9954862
cctv200,40.7560399,-74.0028277
cctv31,40.7543961,-73.9817833
cctv486,40.75697359999999,-74.0048004
cctv485,40.76201830000001,-74.0010207
cctv484,40.7715305,-73.99420529999999
cctv102,40.8027602,-73.9335801
cctv699,40.73790229999999,-73.9809241
cctv4,40.7460738,-73.9749362
cctv491,40.7498231,-73.9722048
cctv258,40.7542526,-73.96897799999999
cctv400,40.7599874,-73.9648206
cctv3,40.7606085,-73.964337
cctv480,40.7688123,-73.9583796
cctv822,40.7701262,-73.9574063
cctv740,40.732349,-73.9849373
cctv203,40.8637,-73.91706839999999
cctv1084,40.7332926,-73.98718149999999
cctv430,40.7453063,-73.9984746
cctv431,40.7457263,-73.9781163
cctv290,40.7507757,-73.9744533
cctv429,40.75521699999999,-73.97124029999999
cctv428,40.7602719,-73.9675409
cctv739,40.7332926,-73.98718149999999
cctv1119,40.7816577,-73.9600147
cctv1031,40.7127753,-74.0059728
cctv964,40.7127753,-74.0059728
cctv7,40.7415708,-73.9895773
cctv305,40.7484616,-73.9845699
cctv466,40.7534887,-73.9808774
cctv966,40.7560369,-73.979021
cctv8,40.757906,-73.9776394
cctv299,40.7629678,-73.9739567
cctv183,40.7643054,-73.9730038
cctv794,40.7680282,-73.9702767
cctv795,40.7686554,-73.96982249999999
cctv1029,40.7802148,-73.9613768
cctv1030,40.7815332,-73.9604135
cctv796,40.7879094,-73.95577639999999
cctv1035,40.7127753,-74.0059728
cctv446,40.737368,-73.9968432
cctv448,40.742903,-73.99279779999999
cctv9,40.7498204,-73.98776459999999
cctv12,40.7548348,-73.98410009999999
cctv304,40.7643344,-73.9771918
cctv401,40.7650007,-73.97669909999999
cctv666,40.72803529999999,-74.0030307
cctv471,40.8216147,-73.93898450000002
cctv447,40.7441135,-73.9956495
cctv440,40.75101799999999,-73.99062669999999
cctv782,40.7567248,-73.9864382
cctv439,40.7604875,-73.9837168
cctv968,40.7635961,-73.9814344
cctv444,40.7655327,-73.9800175
cctv443,40.739767,-74.0025172
cctv19,40.7521996,-73.99344649999999
cctv20,40.7572517,-73.9897885
cctv437,40.7616556,-73.9865591
cctv266,40.7667278,-73.98287499999999
cctv18,40.7677183,-73.98210399999999
cctv441,40.7453063,-73.9984746
cctv355,40.7465137,-74.00136549999999
cctv352,40.7534056,-73.9963183
cctv353,40.7553261,-73.9949879
cctv351,40.7584443,-73.9926275
cctv350,40.7628703,-73.98942
cctv349,40.7679294,-73.9857133
cctv923,40.7994071,-73.955214
cctv994,40.7191053,-73.9902793
cctv1090,40.7193053,-73.99006910000001
cctv112,40.8461712,-73.93232789999999
cctv468,40.7786086,-73.9816391
cctv469,40.7876872,-73.9750135
cctv689,40.8133758,-73.9562662
cctv741,40.8480972,-73.9309126
cctv455,40.7710517,-73.9871426
cctv11,40.7175486,-73.9993157
cctv894,40.7127753,-74.0059728
cctv876,40.7127753,-74.0059728
cctv877,40.7127753,-74.0059728
cctv878,40.71798099999999,-73.90356
cctv886,40.7127753,-74.0059728
cctv887,40.7127753,-74.0059728
cctv888,40.747952,-73.993724
cctv889,40.7812199,-73.9665138
cctv987,40.708869,-73.9979221
cctv874,40.7496629,-73.9668289
cctv875,40.7023146,-74.010525
cctv983,40.8155969,-73.95821389999999
cctv1005,40.8155969,-73.95821389999999
cctv825,40.8264107,-73.9503568
cctv65,40.8416631,-73.9392905
cctv403,40.7558066,-73.9864211
cctv787,40.75660209999999,-73.98612109999999
cctv982,40.75870560000001,-73.9853435
cctv1004,40.75870560000001,-73.9853435
